,Unnamed: 0,PLSAM,SAMPN,PERNO,PLANO,ORIG_HOME,HHSIZE,DEST_HOME,OTPURP,DTPURP,OTPURP_AGG,DTPURP_AGG,DTPURP2,LTMODE_AGG,MODE_SAMP,TOTTR,TRPDUR,TRPDIST_HN,TRPDUR_HN,OZIP,DZIP,HZIP,DNYC,GEO_GROUP2_O,GEO_GROUP3_O,PMODE,PMODE1,PAMODE,PMODE_R,PMODE_R2,PMODE_R3,WORK_PURP,WORKTRIP,TOD_R,TOD_R1,TOTTR_R,TRPDUR_R,TRIPDIST_R1,TRIPDIST_R2,INCOM_R,HHVEH_R
74025,74025,35067340213,3506734,2,13,0,3,0,17,27,5,8,0,2.1,9.0,2,4,3.41,8.13,11772,11772,11772,0,2,1,19,11,,1,1,1,1,2,3,3,2,1,1.0,1.0,4,2
74026,74026,35067340214,3506734,2,14,0,3,1,27,3,8,0,0,2.1,9.0,2,9,1.67,3.93,11772,11772,11772,0,2,1,19,11,,1,1,1,1,2,3,3,2,1,2.0,3.0,4,2
74027,74027,35067340215,3506734,2,15,1,3,0,3,5,0,4,0,2.1,9.0,2,2,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,2,3,3,2,1,1.0,2.0,4,2
74028,74028,35067340216,3506734,2,16,0,3,0,5,9,4,1,0,1.0,9.0,1,2,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,1,3,3,1,1,1.0,1.0,4,2
74029,74029,35067340217,3506734,2,17,0,3,0,9,6,1,4,0,1.0,9.0,1,3,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,1,3,3,1,1,1.0,1.0,4,2
74030,74030,35067340218,3506734,2,18,0,3,1,6,3,4,0,0,2.1,9.0,2,3,0.75,0.0,11772,11772,11772,0,2,1,19,11,,1,1,1,1,2,3,3,2,1,1.0,2.0,4,2
74312,74312,35080270102,3508027,1,2,1,4,0,3,9,0,1,0,7.0,1.0,1,75,30.12,58.78,11757,11435,11757,1,2,1,6,3,4.0,2,2,2,1,1,5,4,1,4,6.0,6.0,2,1
74313,74313,35080270105,3508027,1,5,0,4,1,9,3,1,0,0,7.0,1.0,1,80,30.09,57.13,11435,11757,11757,0,1,1,6,3,4.0,2,2,2,1,1,2,2,1,4,6.0,6.0,2,1
74316,74316,35080270202,3508027,2,2,1,4,0,3,9,0,1,10,1.0,9.0,1,15,5.49,12.72,11757,11758,11757,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,4.0,5.0,2,1
74317,74317,35080270203,3508027,2,3,0,4,1,9,3,1,0,0,1.0,9.0,1,15,6.51,12.37,11758,11757,11757,0,2,1,19,11,,1,1,1,1,1,3,3,1,2,4.0,5.0,2,1
74520,74520,35088350102,3508835,1,2,1,3,0,3,8,0,6,0,1.0,9.0,1,15,3.78,9.19,11777,11733,11777,0,2,1,19,11,,1,1,1,1,2,1,1,1,2,3.0,4.0,4,3
74521,74521,35088350103,3508835,1,3,0,3,0,8,9,6,1,10,1.0,9.0,1,10,5.08,14.28,11733,11780,11777,0,2,1,19,11,,1,1,1,1,1,1,1,1,2,3.0,4.0,4,3
74522,74522,35088350104,3508835,1,4,0,3,0,9,27,1,8,0,1.0,9.0,1,15,2.07,5.7,11780,11787,11777,0,2,1,19,11,,1,1,1,1,1,2,2,1,2,2.0,3.0,4,3
