,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,PLSAM,SAMPN,PERNO,PLANO,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R
3806,3806,102524,102524,37077130102,3707713,1,2,2,20,5.18,0,19,1,1,2
3807,3807,102525,102525,37077130103,3707713,1,3,2,25,5.18,0,19,1,1,2
3808,3808,102526,102526,37077130202,3707713,2,2,2,15,1.47,0,19,1,1,2
3809,3809,102527,102527,37077130203,3707713,2,3,2,15,1.47,0,19,1,1,2
3810,3810,102572,102572,37078140202,3707814,2,2,2,11,1.26,0,19,1,9,2
3811,3811,102573,102573,37078140203,3707814,2,3,2,54,1.26,0,19,1,9,2
3812,3812,102680,102680,37088730102,3708873,1,2,2,100,0.0,1,6,1,4,3
3813,3813,102682,102682,37088730202,3708873,2,2,2,25,8.56,0,19,1,4,3
3814,3814,102683,102683,37088730203,3708873,2,3,2,36,8.54,0,19,1,4,3
3815,3815,102697,102697,37090060102,3709006,1,2,2,45,2.31,0,19,1,2,2
3816,3816,102698,102698,37090060103,3709006,1,3,2,30,5.2,0,19,1,2,2
3817,3817,102699,102699,37090060104,3709006,1,4,2,30,11.29,0,19,1,2,2
3818,3818,102700,102700,37090060105,3709006,1,5,2,30,2.6,0,19,1,2,2
3819,3819,102701,102701,37090060202,3709006,2,2,2,30,3.4,0,19,1,2,2
3820,3820,102702,102702,37090060203,3709006,2,3,2,51,3.41,0,19,1,2,2
3821,3821,102722,102722,37091460102,3709146,1,2,2,107,29.83,1,6,1,4,2
3822,3822,102774,102774,37093590202,3709359,2,2,3,24,7.96,0,19,1,4,3
3823,3823,102775,102775,37093590203,3709359,2,3,3,6,0.75,0,19,1,4,3
3824,3824,102776,102776,37093590204,3709359,2,4,3,4,0.75,0,19,2,4,3
3825,3825,102777,102777,37093590205,3709359,2,5,3,5,0.75,0,19,2,4,3
3826,3826,102778,102778,37093590206,3709359,2,6,3,4,0.75,0,19,2,4,3
3827,3827,102779,102779,37093590207,3709359,2,7,3,2,0.75,0,19,1,4,3
3828,3828,102780,102780,37093590208,3709359,2,8,3,18,5.41,0,19,1,4,3
3829,3829,102781,102781,37093590209,3709359,2,9,3,8,2.73,0,19,1,4,3
3830,3830,102782,102782,37093590210,3709359,2,10,3,5,0.6,0,19,1,4,3
3831,3831,102783,102783,37093590211,3709359,2,11,3,10,3.74,0,19,1,4,3
